strategy,entry_time,entry_price,exit_time,exit_price,dir,volume,r_realized,gross_pnl,commission,net_pnl,reason,entry_dt,exit_dt,hold_hours
007_hybrid,1735803600,2635.73,1735803664,2636.3159999999993,1,0.02,0.6234042553187022,1.1719999999986612,0.3,0.8719999999986612,TP,2025-01-02 07:40:00+00:00,2025-01-02 07:41:04+00:00,0.017777777777777778
007_hybrid,1735815000,2636.14,1735815687,2637.968,1,0.02,0.8234234234234862,3.655999999999949,0.3,3.3559999999999492,TP,2025-01-02 10:50:00+00:00,2025-01-02 11:01:27+00:00,0.19083333333333333
007_hybrid,1735820400,2643.45,1735836396,2650.306,1,0.02,0.8744897959183794,13.712000000000444,0.3,13.412000000000443,TP,2025-01-02 12:20:00+00:00,2025-01-02 16:46:36+00:00,4.443333333333333
007_hybrid,1735839600,2652.7,1735840764,2653.7075,1,0.02,0.2500000000000282,2.0150000000003274,0.3,1.7150000000003274,LOCK,2025-01-02 17:40:00+00:00,2025-01-02 17:59:24+00:00,0.3233333333333333
007_hybrid,1735857000,2659.93,1735870238,2660.46,1,0.02,0.2500000000000536,1.0600000000004002,0.3,0.7600000000004001,LOCK,2025-01-02 22:30:00+00:00,2025-01-03 02:10:38+00:00,3.6772222222222224
007_hybrid,1735877503,2658.29,1735877525,2658.75,1,0.01,1.0222222222216832,0.46000000000003644,0.15,0.31000000000003647,PARTIAL_TP,2025-01-03 04:11:43+00:00,2025-01-03 04:12:05+00:00,0.006111111111111111
007_hybrid,1735877503,2658.29,1735877719,2659.465,1,0.01,2.611111111109932,1.175000000000182,0.15,1.025000000000182,TP,2025-01-03 04:11:43+00:00,2025-01-03 04:15:19+00:00,0.06
007_hybrid,1735878000,2661.4,1735878059,2661.9975,1,0.02,0.24999999999995243,1.194999999999709,0.3,0.8949999999997089,LOCK,2025-01-03 04:20:00+00:00,2025-01-03 04:20:59+00:00,0.01638888888888889
007_hybrid,1735917042,2654.92,1735917051,2654.94,1,0.02,0.25,0.03999999999996362,0.3,-0.26000000000003637,LOCK,2025-01-03 15:10:42+00:00,2025-01-03 15:10:51+00:00,0.0025
007_hybrid,1735917857,2648.36,1735917991,2649.1475,1,0.02,0.24999999999996392,1.574999999999818,0.3,1.274999999999818,LOCK,2025-01-03 15:24:17+00:00,2025-01-03 15:26:31+00:00,0.03722222222222222
007_hybrid,1735943882,2638.06,1735947855,2639.47,1,0.01,1.0071428571426877,1.4099999999998545,0.15,1.2599999999998546,PARTIAL_TP,2025-01-03 22:38:02+00:00,2025-01-03 23:44:15+00:00,1.103611111111111
007_hybrid,1735943882,2638.06,1735948025,2640.8,1,0.01,1.9571428571428988,2.7400000000002365,0.15,2.5900000000002366,TP,2025-01-03 22:38:02+00:00,2025-01-03 23:47:05+00:00,1.1508333333333334
007_hybrid,1736132400,2643.47,1736133330,2645.54,1,0.02,0.8280000000000655,4.140000000000327,0.3,3.8400000000003276,TP,2025-01-06 03:00:00+00:00,2025-01-06 03:15:30+00:00,0.25833333333333336
007_hybrid,1736144563,2635.54,1736144677,2636.17,1,0.02,0.25000000000004513,1.2600000000002183,0.3,0.9600000000002182,LOCK,2025-01-06 06:22:43+00:00,2025-01-06 06:24:37+00:00,0.03166666666666667
007_hybrid,1736145005,2637.57,1736145005,2637.5499999999997,1,0.02,-2.0,-0.040000000000873115,0.3,-0.3400000000008731,SL,2025-01-06 06:30:05+00:00,2025-01-06 06:30:05+00:00,0.0
007_hybrid,1736148641,2633.93,1736148749,2634.2625,1,0.02,0.25,0.6649999999999636,0.3,0.36499999999996363,LOCK,2025-01-06 07:30:41+00:00,2025-01-06 07:32:29+00:00,0.03
007_hybrid,1736169600,2639.79,1736170122,2645.1310000000003,1,0.02,0.8770114942529099,10.682000000000698,0.3,10.382000000000698,TP,2025-01-06 13:20:00+00:00,2025-01-06 13:28:42+00:00,0.145
007_hybrid,1736178285,2624.71,1736178681,2625.5675,1,0.02,0.25000000000003314,1.7150000000001455,0.3,1.4150000000001455,LOCK,2025-01-06 15:44:45+00:00,2025-01-06 15:51:21+00:00,0.11
007_hybrid,1736180277,2616.91,1736182117,2629.07,1,0.01,1.000823045267545,12.16000000000031,0.15,12.010000000000309,PARTIAL_TP,2025-01-06 16:17:57+00:00,2025-01-06 16:48:37+00:00,0.5111111111111111
007_hybrid,1736180277,2616.91,1736189200,2641.2149999999997,1,0.01,2.000411522633791,24.304999999999836,0.15,24.154999999999838,TP,2025-01-06 16:17:57+00:00,2025-01-06 18:46:40+00:00,2.4786111111111113
007_hybrid,1736219400,2636.32,1736219617,2637.328,1,0.02,0.8262295081967017,2.0159999999996217,0.3,1.7159999999996216,TP,2025-01-07 03:10:00+00:00,2025-01-07 03:13:37+00:00,0.06027777777777778
007_hybrid,1736234400,2640.71,1736234547,2642.0739999999996,1,0.02,0.8216867469877697,2.727999999999156,0.3,2.427999999999156,TP,2025-01-07 07:20:00+00:00,2025-01-07 07:22:27+00:00,0.04083333333333333
007_hybrid,1736235000,2643.49,1736235575,2645.426,1,0.02,0.7622047244095185,3.8720000000002983,0.3,3.5720000000002985,TP,2025-01-07 07:30:00+00:00,2025-01-07 07:39:35+00:00,0.1597222222222222
007_hybrid,1736255400,2646.55,1736257765,2647.1825,1,0.02,0.24999999999991013,1.264999999999418,0.3,0.9649999999994179,LOCK,2025-01-07 13:10:00+00:00,2025-01-07 13:49:25+00:00,0.6569444444444444
007_hybrid,1736261400,2650.79,1736261640,2651.3725,1,0.02,0.25,1.1649999999999636,0.3,0.8649999999999636,LOCK,2025-01-07 14:50:00+00:00,2025-01-07 14:54:00+00:00,0.06666666666666667
007_hybrid,1736263200,2657.86,1736263264,2659.05,1,0.02,0.25,2.380000000000109,0.3,2.0800000000001093,LOCK,2025-01-07 15:20:00+00:00,2025-01-07 15:21:04+00:00,0.017777777777777778
