strategy,n_trades,n_round_trips,gross_pnl,commission,net_pnl,total_return_pct,cagr_pct,win_rate_pct,avg_win,avg_loss,profit_factor,expectancy,mdd_abs,mdd_pct,mdd_duration_days,sharpe,sortino,avg_hold_hours,start,end
004_buyonly_real,1467,1467,86.2900000000001,-220.04999999999995,-159.2900000000001,-0.01592900000000001,-0.009384790333294202,0.7805044308111793,3.9119912663755456,-14.405341614906831,0.9656593051231859,-0.1085821404226313,-431.53000000000065,-0.042888037703070495,126,-0.1959432247236655,-0.13004302346369692,0.7185999394077104,2025-01-03 04:11:20,2026-09-17 22:54:28
005_buyonly_real,7084,7084,2848.88,-1062.5999999999997,1747.2199999999998,0.174722,0.09900907305270845,0.7073687182382834,1.9325503891438836,-3.828649300530632,1.2201418961570105,0.2466431394692264,-683.8499999999967,-0.06839204438057088,393,1.8131535991388752,3.518295795873694,0.1382922391618044,2025-01-02 01:20:27,2026-09-17 22:54:40
007_buyonly_real,1912,1443,294.2399999999997,-432.89999999999986,-203.53999999999985,-0.020353999999999987,-0.012002945570089851,0.8274058577405857,5.76329962073325,-28.24569696969697,0.9781634746188211,-0.10645397489539742,-864.8000000000011,-0.08479794790534959,513,-0.10064995425691907,-0.07125976732789538,0.8191621629474662,2025-01-03 04:11:20,2026-09-17 22:54:28
PORTFOLIO_buyonly_real,10463,8420,3229.4099999999994,-1715.5499999999997,1384.3899999999996,0.13843899999999995,0.07897918983956775,0.7395584440409061,3.008630136986301,-8.03537247706422,1.0632245772019955,0.13231291216668256,-1602.2799999999988,-0.13156563665983487,126,0.5889915479866265,0.504811914461443,0.3440778351227075,2025-01-02 01:20:27,2026-09-17 22:54:40
