TIME,EVENT,DETAIL
2026.09.17 08:39:14,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 08:53:31,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 08:53:31,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 08:58:11,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 08:58:11,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 09:02:40,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 09:02:40,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 09:08:35,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 09:08:35,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 09:15:41,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 09:15:41,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 09:27:58,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 09:27:58,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 09:44:23,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
2026.09.17 09:44:23,NOTE,FINAL parity build: setup pricing/order mirrors MULTI_TF validator; own-Magic MAX1; live 0.01 TP1 uses whole-position +0.25R lock
2026.09.17 09:51:36,START,TF=M2 | PB=0.10R | SL=2R | own-Magic MAX1 | Magic=95012001 | Lots=0.01 | orders=ENABLED
