strategy,entry_time,entry_price,exit_time,exit_price,dir,volume,r_realized,gross_pnl,commission,net_pnl,reason,entry_path,entry_dt,exit_dt,hold_hours
007_symfastconfirm,1735943882,2638.06,1735947855,2639.47,1,0.01,1.0071428571426877,1.4099999999998545,0.15,1.2599999999998546,PARTIAL_TP,mechanical,2025-01-03 22:38:02+00:00,2025-01-03 23:44:15+00:00,1.103611111111111
007_symfastconfirm,1735943882,2638.06,1735948025,2640.8,1,0.01,1.9571428571428988,2.7400000000002365,0.15,2.5900000000002366,TP,mechanical,2025-01-03 22:38:02+00:00,2025-01-03 23:47:05+00:00,1.1508333333333334
007_symfastconfirm,1736133000,2642.27,1736133520,2647.27,-1,0.02,-2.0,-10.0,0.3,-10.3,SL,fast,2025-01-06 03:10:00+00:00,2025-01-06 03:18:40+00:00,0.14444444444444443
007_symfastconfirm,1736144563,2635.54,1736144677,2636.17,1,0.02,0.25000000000004513,1.2600000000002183,0.3,0.9600000000002182,LOCK,mechanical,2025-01-06 06:22:43+00:00,2025-01-06 06:24:37+00:00,0.03166666666666667
007_symfastconfirm,1736145005,2637.57,1736145005,2637.5499999999997,1,0.02,-2.0,-0.040000000000873115,0.3,-0.3400000000008731,SL,mechanical,2025-01-06 06:30:05+00:00,2025-01-06 06:30:05+00:00,0.0
007_symfastconfirm,1736147400,2635.58,1736148809,2632.92,1,0.02,-2.0,-5.319999999999709,0.3,-5.619999999999709,SL,fast,2025-01-06 07:10:00+00:00,2025-01-06 07:33:29+00:00,0.3913888888888889
007_symfastconfirm,1736170385,2646.29,1736172820,2644.7675,-1,0.02,0.25,3.045000000000073,0.3,2.7450000000000734,LOCK,mechanical,2025-01-06 13:33:05+00:00,2025-01-06 14:13:40+00:00,0.6763888888888889
007_symfastconfirm,1736178285,2624.71,1736178681,2625.5675,1,0.02,0.25000000000003314,1.7150000000001455,0.3,1.4150000000001455,LOCK,mechanical,2025-01-06 15:44:45+00:00,2025-01-06 15:51:21+00:00,0.11
007_symfastconfirm,1736180277,2616.91,1736182117,2629.07,1,0.01,1.000823045267545,12.16000000000031,0.15,12.010000000000309,PARTIAL_TP,mechanical,2025-01-06 16:17:57+00:00,2025-01-06 16:48:37+00:00,0.5111111111111111
007_symfastconfirm,1736180277,2616.91,1736189200,2641.2149999999997,1,0.01,2.000411522633791,24.304999999999836,0.15,24.154999999999838,TP,mechanical,2025-01-06 16:17:57+00:00,2025-01-06 18:46:40+00:00,2.4786111111111113
007_symfastconfirm,1736219624,2637.49,1736219741,2636.26,-1,0.01,1.008196721311283,1.2299999999995634,0.15,1.0799999999995635,PARTIAL_TP,mechanical,2025-01-07 03:13:44+00:00,2025-01-07 03:15:41+00:00,0.0325
007_symfastconfirm,1736219624,2637.49,1736220039,2637.185,-1,0.01,0.24999999999990682,0.3049999999998363,0.15,0.1549999999998363,LOCK,mechanical,2025-01-07 03:13:44+00:00,2025-01-07 03:20:39+00:00,0.11527777777777778
007_symfastconfirm,1736234566,2644.16,1736234731,2643.745,-1,0.02,0.25,0.8299999999999274,0.3,0.5299999999999274,LOCK,mechanical,2025-01-07 07:22:46+00:00,2025-01-07 07:25:31+00:00,0.04583333333333333
007_symfastconfirm,1736235583,2645.48,1736235733,2644.8450000000003,-1,0.02,0.2499999999999105,1.269999999999527,0.3,0.969999999999527,LOCK,mechanical,2025-01-07 07:39:43+00:00,2025-01-07 07:42:13+00:00,0.041666666666666664
007_symfastconfirm,1736256000,2643.48,1736256000,2644.1330000000003,-1,0.02,-0.2581027667985427,-1.3060000000004948,0.3,-1.6060000000004948,TP,fast,2025-01-07 13:20:00+00:00,2025-01-07 13:20:00+00:00,0.0
007_symfastconfirm,1736258627,2648.9,1736259459,2648.2675,-1,0.02,0.2500000000000899,1.2650000000003274,0.3,0.9650000000003274,LOCK,mechanical,2025-01-07 14:03:47+00:00,2025-01-07 14:17:39+00:00,0.2311111111111111
007_symfastconfirm,1736262046,2652.78,1736262424,2650.45,-1,0.01,1.0000000000001952,2.330000000000382,0.15,2.180000000000382,PARTIAL_TP,mechanical,2025-01-07 15:00:46+00:00,2025-01-07 15:07:04+00:00,0.105
007_symfastconfirm,1736262046,2652.78,1736262461,2652.1975,-1,0.01,0.25,0.5824999999999818,0.15,0.4324999999999818,LOCK,mechanical,2025-01-07 15:00:46+00:00,2025-01-07 15:07:41+00:00,0.11527777777777778
007_symfastconfirm,1736264900,2662.33,1736265040,2661.14,-1,0.02,0.25,2.380000000000109,0.3,2.0800000000001093,LOCK,mechanical,2025-01-07 15:48:20+00:00,2025-01-07 15:50:40+00:00,0.03888888888888889
007_symfastconfirm,1736266200,2660.36,1736266200,2660.554,-1,0.02,-0.09065420560746333,-0.38799999999991996,0.3,-0.68799999999992,TP,fast,2025-01-07 16:10:00+00:00,2025-01-07 16:10:00+00:00,0.0
007_symfastconfirm,1736270400,2651.03,1736348977,2657.238,1,0.02,0.4427960057061082,12.415999999999258,0.3,12.115999999999257,TP,fast,2025-01-07 17:20:00+00:00,2025-01-08 15:09:37+00:00,21.826944444444443
007_symfastconfirm,1736349600,2655.55,1736350185,2654.2200000000003,-1,0.02,0.25,2.6599999999998545,0.3,2.3599999999998547,LOCK,fast,2025-01-08 15:20:00+00:00,2025-01-08 15:29:45+00:00,0.1625
007_symfastconfirm,1736352259,2663.71,1736352425,2662.9825,-1,0.02,0.25,1.4549999999999272,0.3,1.1549999999999272,LOCK,mechanical,2025-01-08 16:04:19+00:00,2025-01-08 16:07:05+00:00,0.04611111111111111
007_symfastconfirm,1736353903,2664.8,1736354059,2664.2650000000003,-1,0.02,0.24999999999994688,1.069999999999709,0.3,0.7699999999997089,LOCK,mechanical,2025-01-08 16:31:43+00:00,2025-01-08 16:34:19+00:00,0.043333333333333335
007_symfastconfirm,1736355000,2665.29,1736355398,2662.993,-1,0.02,0.615817694369977,4.594000000000051,0.3,4.294000000000051,TP,fast,2025-01-08 16:50:00+00:00,2025-01-08 16:56:38+00:00,0.11055555555555556
007_symfastconfirm,1736362745,2669.58,1736363378,2668.6475,-1,0.02,0.24999999999996952,1.8649999999997817,0.3,1.5649999999997817,LOCK,mechanical,2025-01-08 18:59:05+00:00,2025-01-08 19:09:38+00:00,0.17583333333333334
007_symfastconfirm,1736365800,2652.12,1736367279,2654.9674999999997,1,0.02,0.24999999999998004,5.694999999999709,0.3,5.394999999999709,LOCK,fast,2025-01-08 19:50:00+00:00,2025-01-08 20:14:39+00:00,0.41083333333333333
007_symfastconfirm,1736392800,2659.42,1736393884,2659.739,1,0.02,0.26363636363632265,0.63799999999992,0.3,0.33799999999992,TP,fast,2025-01-09 03:20:00+00:00,2025-01-09 03:38:04+00:00,0.3011111111111111
007_symfastconfirm,1736396147,2657.22,1736397096,2657.5225,1,0.02,0.2500000000001879,0.6050000000004729,0.3,0.30500000000047295,LOCK,mechanical,2025-01-09 04:15:47+00:00,2025-01-09 04:31:36+00:00,0.26361111111111113
007_symfastconfirm,1736401800,2660.71,1736402002,2660.0190000000002,-1,0.02,0.3860335195529707,1.381999999999607,0.3,1.081999999999607,TP,fast,2025-01-09 05:50:00+00:00,2025-01-09 05:53:22+00:00,0.05611111111111111
007_symfastconfirm,1736404484,2656.25,1736405307,2656.5525,1,0.02,0.2499999999998121,0.6049999999995634,0.3,0.30499999999956345,LOCK,mechanical,2025-01-09 06:34:44+00:00,2025-01-09 06:48:27+00:00,0.2286111111111111
